"Country Name","Country Code","Indicator Name","Indicator Code","Time Period","Value","Status",
"Advanced Economies","110","Allocated Reserves, Claims in Japanese yen, US Dollars","RAXGFXARJPY_USD","1999","73453200045.2018",""
"Advanced Economies","110","Allocated Reserves, Claims in Japanese yen, US Dollars","RAXGFXARJPY_USD","2000","80840093538.05",""
"Advanced Economies","110","Allocated Reserves, Claims in Japanese yen, US Dollars","RAXGFXARJPY_USD","2001","68388734018.1699",""
"Advanced Economies","110","Allocated Reserves, Claims in Japanese yen, US Dollars","RAXGFXARJPY_USD","2002","69362544708.4573",""
"Advanced Economies","110","Allocated Reserves, Claims in Japanese yen, US Dollars","RAXGFXARJPY_USD","2003","80725949088.9328",""
"Advanced Economies","110","Allocated Reserves, Claims in Japanese yen, US Dollars","RAXGFXARJPY_USD","2004","90826184606.3205",""
"Advanced Economies","110","Allocated Reserves, Claims in Japanese yen, US Dollars","RAXGFXARJPY_USD","2005","86671265629.0292",""
"Advanced Economies","110","Allocated Reserves, Claims in Japanese yen, US Dollars","RAXGFXARJPY_USD","2006","84618625353.6095",""
"Advanced Economies","110","Allocated Reserves, Claims in Japanese yen, US Dollars","RAXGFXARJPY_USD","2007","85976746349.4476",""
"Advanced Economies","110","Allocated Reserves, Claims in Japanese yen, US Dollars","RAXGFXARJPY_USD","2008","94034827900.3971",""
"Advanced Economies","110","Allocated Reserves, Claims in Japanese yen, US Dollars","RAXGFXARJPY_USD","2009","95403153038.0166",""
"Advanced Economies","110","Allocated Reserves, Claims in Japanese yen, US Dollars","RAXGFXARJPY_USD","2010","121197546892.924",""
"Advanced Economies","110","Allocated Reserves, Claims in Japanese yen, US Dollars","RAXGFXARJPY_USD","2011","132940141008.31",""
"Advanced Economies","110","Allocated Reserves, Claims in Japanese yen, US Dollars","RAXGFXARJPY_USD","2012","165734615416.828",""
"Advanced Economies","110","Allocated Reserves, Claims in Japanese yen, US Dollars","RAXGFXARJPY_USD","2013","155484609861.913",""
"Advanced Economies","110","Allocated Reserves, Claims in Japanese yen, US Dollars","RAXGFXARJPY_USD","2014","155668122278.858",""
"Advanced Economies","110","Allocated Reserves, Claims in Japanese yen, US Dollars","RAXGFXARJPY_USD","1995","54124180000",""
"Advanced Economies","110","Allocated Reserves, Claims in Japanese yen, US Dollars","RAXGFXARJPY_USD","1996","64949053000",""
"Advanced Economies","110","Allocated Reserves, Claims in Japanese yen, US Dollars","RAXGFXARJPY_USD","1997","57161065000",""
"Advanced Economies","110","Allocated Reserves, Claims in Japanese yen, US Dollars","RAXGFXARJPY_USD","1998","65975295000",""
"Advanced Economies","110","Allocated Reserves, Claims in Netherlands guilder, US Dollars","RAXGFXARNLG_USD","1995","2406732000",""
"Advanced Economies","110","Allocated Reserves, Claims in Netherlands guilder, US Dollars","RAXGFXARNLG_USD","1996","2479180000",""
"Advanced Economies","110","Allocated Reserves, Claims in Netherlands guilder, US Dollars","RAXGFXARNLG_USD","1997","3254451000",""
"Advanced Economies","110","Allocated Reserves, Claims in Netherlands guilder, US Dollars","RAXGFXARNLG_USD","1998","2988848000",""
"Advanced Economies","110","Allocated Reserves, Claims in pounds sterling, US Dollars","RAXGFXARGBP_USD","1999","30518030095.704",""
"Advanced Economies","110","Allocated Reserves, Claims in pounds sterling, US Dollars","RAXGFXARGBP_USD","2000","31081132926.2323",""
"Advanced Economies","110","Allocated Reserves, Claims in pounds sterling, US Dollars","RAXGFXARGBP_USD","2001","30127175115.7278",""
"Advanced Economies","110","Allocated Reserves, Claims in pounds sterling, US Dollars","RAXGFXARGBP_USD","2002","36209914076.9922",""
"Advanced Economies","110","Allocated Reserves, Claims in pounds sterling, US Dollars","RAXGFXARGBP_USD","2003","36509786865.7376",""
"Advanced Economies","110","Allocated Reserves, Claims in pounds sterling, US Dollars","RAXGFXARGBP_USD","2004","48483657051.2875",""
"Advanced Economies","110","Allocated Reserves, Claims in pounds sterling, US Dollars","RAXGFXARGBP_USD","2005","49890124228.7233",""
"Advanced Economies","110","Allocated Reserves, Claims in pounds sterling, US Dollars","RAXGFXARGBP_USD","2006","64792670270.1868",""
"Advanced Economies","110","Allocated Reserves, Claims in pounds sterling, US Dollars","RAXGFXARGBP_USD","2007","76114783099.9422",""
"Advanced Economies","110","Allocated Reserves, Claims in pounds sterling, US Dollars","RAXGFXARGBP_USD","2008","59133192746.4706",""
"Advanced Economies","110","Allocated Reserves, Claims in pounds sterling, US Dollars","RAXGFXARGBP_USD","2009","67810482251.3832",""
"Advanced Economies","110","Allocated Reserves, Claims in pounds sterling, US Dollars","RAXGFXARGBP_USD","2010","68188848487.9904",""
"Advanced Economies","110","Allocated Reserves, Claims in pounds sterling, US Dollars","RAXGFXARGBP_USD","2011","76750603305.9453",""
"Advanced Economies","110","Allocated Reserves, Claims in pounds sterling, US Dollars","RAXGFXARGBP_USD","2012","99602971258.7568",""
"Advanced Economies","110","Allocated Reserves, Claims in pounds sterling, US Dollars","RAXGFXARGBP_USD","2013","102526733724.704",""
"Advanced Economies","110","Allocated Reserves, Claims in pounds sterling, US Dollars","RAXGFXARGBP_USD","2014","100854319153.287",""
"Advanced Economies","110","Allocated Reserves, Claims in pounds sterling, US Dollars","RAXGFXARGBP_USD","1995","16014066000",""
"Advanced Economies","110","Allocated Reserves, Claims in pounds sterling, US Dollars","RAXGFXARGBP_USD","1996","25989439000",""
"Advanced Economies","110","Allocated Reserves, Claims in pounds sterling, US Dollars","RAXGFXARGBP_USD","1997","24683696000",""
"Advanced Economies","110","Allocated Reserves, Claims in pounds sterling, US Dollars","RAXGFXARGBP_USD","1998","26120274000",""
"Advanced Economies","110","Allocated Reserves, Claims in Swiss francs, US Dollars","RAXGFXARCHF_USD","1999","1338184978.05546",""
"Advanced Economies","110","Allocated Reserves, Claims in Swiss francs, US Dollars","RAXGFXARCHF_USD","2000","3185162640.46954",""
"Advanced Economies","110","Allocated Reserves, Claims in Swiss francs, US Dollars","RAXGFXARCHF_USD","2001","3390875220.04322",""
"Advanced Economies","110","Allocated Reserves, Claims in Swiss francs, US Dollars","RAXGFXARCHF_USD","2002","6616499942.72338",""
"Advanced Economies","110","Allocated Reserves, Claims in Swiss francs, US Dollars","RAXGFXARCHF_USD","2003","4157690673.46725",""
"Advanced Economies","110","Allocated Reserves, Claims in Swiss francs, US Dollars","RAXGFXARCHF_USD","2004","3246977498.41614",""
"Advanced Economies","110","Allocated Reserves, Claims in Swiss francs, US Dollars","RAXGFXARCHF_USD","2005","3427781872.34694",""
